iter	Logloss
0	0.6619867158
1	0.6376127571
2	0.6144572064
3	0.594400917
4	0.5707658278
5	0.5554319696
6	0.5394254924
7	0.5190155472
8	0.5025089345
9	0.4881009939
10	0.4754550186
11	0.4615252747
12	0.4528458813
13	0.4417388896
14	0.4363714623
15	0.4268153417
16	0.417342461
17	0.4097071206
18	0.4037921439
19	0.3957332643
20	0.3887153861
21	0.381684419
22	0.3759800016
23	0.3710560552
24	0.3630827776
25	0.3585905314
26	0.3545532353
27	0.3496432147
28	0.3452082516
29	0.3425114211
30	0.3384244976
31	0.3341832277
32	0.3307811942
33	0.3272285494
34	0.3241998573
35	0.3207211995
36	0.3174491683
37	0.3135977267
38	0.3115904745
39	0.3088431516
40	0.3062622932
41	0.3033732523
42	0.3018394326
43	0.2984424995
44	0.2966239318
45	0.2946174754
46	0.2939101507
47	0.2919226621
48	0.2898560263
49	0.2886577801
50	0.2884433403
51	0.286840185
52	0.2853387772
53	0.2830021433
54	0.2813329539
55	0.2802300147
56	0.2779926908
57	0.2761277469
58	0.2757330114
59	0.2728710854
60	0.2720641396
61	0.27173937
62	0.2702579251
63	0.2686747335
64	0.2683707834
65	0.2673630707
66	0.2664303037
67	0.2651059786
68	0.2638144903
69	0.2625031554
70	0.2612161586
71	0.2593393128
72	0.2584883659
73	0.2568590296
74	0.2557332028
75	0.2547555986
76	0.2531084587
77	0.2521550349
78	0.2511825311
79	0.2499678779
80	0.2480500816
81	0.2473404699
82	0.2466315414
83	0.2458602453
84	0.245443161
85	0.243891978
86	0.2437406142
87	0.242804023
88	0.24210456
89	0.2412261754
90	0.2405074266
91	0.2387050426
92	0.2375063345
93	0.2366532242
94	0.2354215959
95	0.2341530209
96	0.2334441228
97	0.2328356714
98	0.2326916568
99	0.2310938463
100	0.2298119472
101	0.2286679895
102	0.22852965
103	0.2276877357
104	0.2276768431
105	0.2267921001
106	0.2262204774
107	0.2258034986
108	0.2251144223
109	0.2242961554
110	0.2233251465
111	0.2231711474
112	0.2223741072
113	0.2216212165
114	0.2211090383
115	0.2202508179
116	0.2193946578
117	0.2177482798
118	0.2168950725
119	0.2157377449
120	0.2147682085
121	0.2145949117
122	0.214230495
123	0.2135573074
124	0.2131196824
125	0.2122408316
126	0.2115072718
127	0.2102186421
128	0.2096534016
129	0.2090432595
130	0.2085795489
131	0.2078570217
132	0.2073087133
133	0.2063899125
134	0.2056488754
135	0.2052009466
136	0.2047072705
137	0.2042492021
138	0.2035558022
139	0.2024034458
140	0.2021750182
141	0.2014535859
142	0.2009274136
143	0.2003777723
144	0.2000539019
145	0.1991808653
146	0.1983191312
147	0.1974916823
148	0.1964628325
149	0.196001881
150	0.1956037916
151	0.1953639514
152	0.1948656844
153	0.1934621743
154	0.1930441501
155	0.1924653227
156	0.1919743635
157	0.191382233
158	0.190804882
159	0.1899445785
160	0.1895472018
161	0.188810775
162	0.1883851953
163	0.1873719287
164	0.1873706506
165	0.1867910899
166	0.1855645044
167	0.184455426
168	0.1842803771
169	0.1842275125
170	0.1838381899
171	0.1835581403
172	0.1829961879
173	0.1824292999
174	0.1823593296
175	0.181931745
176	0.1810680684
177	0.1804335224
178	0.1793031077
179	0.1785354122
180	0.1783106056
181	0.1779385248
182	0.1771236635
183	0.1765982275
184	0.1758985371
185	0.1750681208
186	0.1743216451
187	0.1737827287
188	0.1732211847
189	0.1728149039
190	0.1725068086
191	0.171507207
192	0.1706422427
193	0.169948302
194	0.1691937934
195	0.1689754436
196	0.1684555347
197	0.168066066
198	0.1675146305
199	0.1669199307
