iter	Passed	Remaining
0	58	11599
1	58	5799
2	59	3900
3	59	2925
4	60	2361
5	61	1973
6	61	1688
7	62	1492
8	62	1334
9	63	1208
10	64	1100
11	64	1014
12	65	935
13	66	881
14	66	820
15	67	772
16	68	738
17	69	701
18	69	663
19	70	638
20	71	610
21	72	585
22	72	560
23	73	535
24	73	516
25	74	498
26	75	481
27	75	465
28	77	454
29	77	438
30	77	425
31	78	413
32	79	402
33	80	391
34	80	381
35	81	371
36	82	362
37	82	353
38	83	345
39	84	337
40	85	329
41	85	322
42	86	314
43	86	307
44	87	301
45	88	295
46	88	287
47	88	281
48	89	276
49	90	271
50	90	264
51	91	259
52	91	254
53	92	250
54	93	245
55	93	241
56	94	237
57	95	233
58	95	228
59	96	224
60	97	221
61	97	216
62	97	213
63	98	209
64	98	205
65	99	202
66	100	199
67	100	195
68	101	192
69	102	190
70	103	187
71	103	184
72	104	181
73	105	178
74	105	176
75	106	173
76	107	171
77	107	168
78	108	166
79	109	163
80	109	161
81	110	158
82	111	156
83	111	154
84	112	151
85	112	149
86	113	146
87	113	144
88	114	142
89	115	140
90	115	138
91	116	136
92	117	134
93	118	133
94	118	131
95	119	129
96	120	127
97	120	125
98	120	123
99	121	121
100	122	119
101	122	118
102	123	116
103	123	114
104	124	112
105	124	110
106	125	109
107	125	107
108	127	106
109	128	104
110	128	103
111	129	101
112	130	100
113	130	98
114	131	97
115	132	95
116	132	94
117	133	92
118	134	91
119	135	90
120	135	88
121	135	86
122	136	85
123	137	84
124	138	82
125	138	81
126	139	80
127	140	78
128	140	77
129	141	76
130	142	74
131	142	73
132	143	72
133	144	71
134	144	69
135	145	68
136	146	67
137	146	66
138	147	64
139	148	63
140	149	62
141	150	61
142	151	60
143	151	59
144	152	57
145	153	56
146	153	55
147	154	54
148	155	53
149	156	52
150	156	50
151	157	49
152	158	48
153	158	47
154	159	46
155	160	45
156	160	44
157	161	42
158	162	41
159	162	40
160	163	39
161	164	38
162	165	37
163	165	36
164	165	35
165	166	34
166	167	33
167	167	31
168	168	30
169	168	29
170	169	28
171	170	27
172	170	26
173	171	25
174	172	24
175	172	23
176	174	22
177	174	21
178	175	20
179	176	19
180	176	18
181	177	17
182	178	16
183	179	15
184	179	14
185	180	13
186	181	12
187	181	11
188	182	10
189	183	9
190	183	8
191	184	7
192	185	6
193	185	5
194	186	4
195	187	3
196	188	2
197	188	1
198	189	0
199	190	0
